"DO NOT MODIFY OR REMOVE - Component ID","English (United States)","French (France)","Spanish (Spain)","Arabic (Saudi Arabia)","Turkish (Turkey)","Portuguese (Brazil)","German (Germany)","Hindi (India)","Russian (Russia)"
"iuFGR2yPjh","Get Replyer Pro","Obtenir Replyer Pro","Obtener Replyer Pro","احصل على Replyer Pro","Replyer Pro'yu Edin","Obter Replyer Pro","Replyer Pro holen","Replyer Pro पाएं","Получить Replyer Pro"
"tZ34z5szEZ","Our most advanced features, for our most dedicated users.","Nos fonctionnalités les plus avancées, pour nos utilisateurs les plus dévoués.","Nuestras funciones más avanzadas, para nuestros usuarios más dedicados.","ميزاتنا الأكثر تقدمًا، لمستخدمينا الأكثر تفانيًا.","En gelişmiş özelliklerimiz, en sadık kullanıcılarımız için.","Nossos recursos mais avançados, para nossos usuários mais dedicados.","Unsere fortschrittlichsten Funktionen, für unsere engagiertesten Nutzer.","हमारे सबसे उन्नत फीचर्स, हमारे सबसे समर्पित उपयोगकर्ताओं के लिए।","Наши самые продвинутые функции для самых преданных пользователей."
"J2crP5pQqO","Our most advanced features, for our most dedicated users.","Nos fonctionnalités les plus avancées, pour nos utilisateurs les plus dévoués.","Nuestras funciones más avanzadas, para nuestros usuarios más dedicados.","ميزاتنا الأكثر تقدمًا، لمستخدمينا الأكثر تفانيًا.","En gelişmiş özelliklerimiz, en sadık kullanıcılarımız için.","Nossos recursos mais avançados, para nossos usuários mais dedicados.","Unsere fortschrittlichsten Funktionen, für unsere engagiertesten Nutzer.","हमारे सबसे उन्नत फीचर्स, हमारे सबसे समर्पित उपयोगकर्ताओं के लिए।","Наши самые продвинутые функции для самых преданных пользователей."
"pdF3swOZOC","**Unlimited Generations**","**Générations illimitées**","**Generaciones ilimitadas**","**توليد غير محدود**","**Sınırsız Üretim**","**Gerações ilimitadas**","**Unbegrenzte Generierungen**","**असीमित जनरेशन**","**Неограниченные генерации**"
"1rbBizXZ6a","No daily limits","Pas de limites quotidiennes","Sin límites diarios","بدون حدود يومية","Günlük sınır yok","Sem limites diários","Keine täglichen Limits","कोई दैनिक सीमा नहीं","Без дневных лимитов"
"Tb96zGkKSL","**Message Decoder**","**Décodeur de messages**","**Decodificador de mensajes**","**فك تشفير الرسائل**","**Mesaj Çözücü**","**Decodificador de mensagens**","**Nachrichten-Entschlüsseler**","**मैसेज डिकोडर**","**Дешифратор сообщений**"
"alkrIMXbE9","Analyze hidden meanings & emotions","Analysez les significations cachées et les émotions","Analiza significados ocultos y emociones","حلل المعاني الخفية والمشاعر","Gizli anlamları ve duyguları analiz et","Analise significados ocultos e emoções","Analysiere versteckte Bedeutungen & Emotionen","छिपे अर्थों और भावनाओं का विश्लेषण करें","Анализируйте скрытые смыслы и эмоции"
"wNFWVHWeDA","**Personalized Contacts**","**Contacts personnalisés**","**Contactos personalizados**","**جهات اتصال مخصصة**","**Kişiselleştirilmiş Kişiler**","**Contatos personalizados**","**Personalisierte Kontakte**","**व्यक्तिगत संपर्क**","**Персонализированные контакты**"
"2V3GETNpev","Train AI to match your contacts style","Entraînez l'IA pour correspondre au style de vos contacts","Entrena la IA para que coincida con el estilo de tus contactos","درّب الذكاء الاصطناعي ليتناسب مع أسلوب جهات اتصالك","Yapay zekayı kişilerinizin tarzına göre eğitin","Treine a IA para combinar com o estilo dos seus contatos","Trainiere die KI, um zum Stil deiner Kontakte zu passen","AI को अपने संपर्कों की शैली से मिलान करने के लिए प्रशिक्षित करें","Обучите ИИ соответствовать стилю ваших контактов"
