"DO NOT MODIFY OR REMOVE - Component ID","English (United States)","French (France)","Spanish (Spain)","Arabic (Saudi Arabia)","Turkish (Turkey)","Portuguese (Brazil)"
"25DOnKgk8d","Unlock your full potential with our Pro Plan!","Débloquez tout votre potentiel avec notre Plan Pro !","¡Desbloquea todo tu potencial con nuestro Plan Pro!","أطلق العنان لإمكانياتك الكاملة مع خطة برو!","Pro Planımız ile tüm potansiyelinizi açığa çıkarın!","Desbloqueie todo o seu potencial com nosso Plano Pro!"
"pl60gPWQOF","**Unlimited Generations** - No daily limits","**Générations illimitées** - Sans limites quotidiennes","**Generaciones ilimitadas** - Sin límites diarios","**توليدات غير محدودة** - بدون حدود يومية","**Sınırsız Üretim** - Günlük limit yok","**Gerações ilimitadas** - Sem limites diários"
"6-EltzGM-y","**Message Decoder** - Analyze hidden meanings & emotions","**Décodeur de messages** - Analysez les significations cachées et les émotions","**Decodificador de mensajes** - Analiza significados ocultos y emociones","**محلل الرسائل** - حلل المعاني الخفية والمشاعر","**Mesaj Çözücü** - Gizli anlamları ve duyguları analiz edin","**Decodificador de mensagens** - Analise significados ocultos e emoções"
"lqrNnMZKBT","**My Style** - Train AI to match your writing style","**Mon Style** - Entraînez l'IA à imiter votre style d'écriture","**Mi Estilo** - Entrena la IA para que coincida con tu estilo de escritura","**أسلوبي** - درّب الذكاء الاصطناعي ليطابق أسلوب كتابتك","**Benim Tarzım** - Yapay zekayı yazım tarzınıza eğitin","**Meu Estilo** - Treine a IA para combinar com seu estilo de escrita"
"gFxorO-DIV","**More Context** - Add Multiple screenshots for better context","**Plus de contexte** - Ajoutez plusieurs captures d'écran pour un meilleur contexte","**Más contexto** - Añade múltiples capturas para mejor contexto","**سياق أكثر** - أضف لقطات شاشة متعددة لسياق أفضل","**Daha Fazla Bağlam** - Daha iyi bağlam için birden fazla ekran görüntüsü ekleyin","**Mais contexto** - Adicione várias capturas de tela para melhor contexto"
"pBn70-lza3","**Personalized Contacts**- Train AI to match your contacts style","**Contacts personnalisés** - Entraînez l'IA à s'adapter au style de vos contacts","**Contactos personalizados** - Entrena la IA para adaptarse al estilo de tus contactos","**جهات اتصال مخصصة** - درّب الذكاء الاصطناعي ليتناسب مع أسلوب جهات اتصالك","**Kişiselleştirilmiş Kişiler** - Yapay zekayı kişilerinizin tarzına eğitin","**Contatos personalizados** - Treine a IA para combinar com o estilo dos seus contatos"
"mrHx7kSot1","SAVE {{ product.relative_discount }}","ÉCONOMISEZ {{ product.relative_discount }}","AHORRA {{ product.relative_discount }}","وفّر {{ product.relative_discount }}","{{ product.relative_discount }} TASARRUF EDİN","ECONOMIZE {{ product.relative_discount }}"
"bFuhvauoFw","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}"
"D_M7Ml80U3","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}"
"2qpAdLVjnG","{{ product.price_per_month }}/mo ","{{ product.price_per_month }}/mois ","{{ product.price_per_month }}/mes ","{{ product.price_per_month }}/شهر ","{{ product.price_per_month }}/ay ","{{ product.price_per_month }}/mês "
"VPSO5LtrIX","{{ product.price_per_month }}/mo ","{{ product.price_per_month }}/mois ","{{ product.price_per_month }}/mes ","{{ product.price_per_month }}/شهر ","{{ product.price_per_month }}/ay ","{{ product.price_per_month }}/mês "
"0yMcx9RlnJ","Billed at {{ product.price_per_period_abbreviated }}.","Facturé {{ product.price_per_period_abbreviated }}.","Facturado a {{ product.price_per_period_abbreviated }}.","يُفوتر بـ {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }}."
"wIOSorfg2f","Billed at {{ product.price_per_period_abbreviated }}.","Facturé {{ product.price_per_period_abbreviated }}.","Facturado a {{ product.price_per_period_abbreviated }}.","يُفوتر بـ {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }}."
"xAkltgkSmL","Billed at {{ product.price_per_period_abbreviated }} after free trial.","Facturé {{ product.price_per_period_abbreviated }} après l'essai gratuit.","Facturado a {{ product.price_per_period_abbreviated }} después del período de prueba.","يُفوتر بـ {{ product.price_per_period_abbreviated }} بعد الفترة التجريبية.","Ücretsiz deneme sonrası {{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }} após o período de teste."
"JcGqozDj42","Billed at {{ product.price_per_period_abbreviated }} after free trial.","Facturé {{ product.price_per_period_abbreviated }} après l'essai gratuit.","Facturado a {{ product.price_per_period_abbreviated }} después del período de prueba.","يُفوتر بـ {{ product.price_per_period_abbreviated }} بعد الفترة التجريبية.","Ücretsiz deneme sonrası {{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }} após o período de teste."
"P5E3sQ_06n","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}","{{ product.periodly | capitalize }}"
"fxwONEEHjx","{{ product.price_per_period_abbreviated }} ","{{ product.price_per_period_abbreviated }} ","{{ product.price_per_period_abbreviated }} ","{{ product.price_per_period_abbreviated }} ","{{ product.price_per_period_abbreviated }} ","{{ product.price_per_period_abbreviated }} "
"bAQoprHW60","Billed at {{ product.price_per_period_abbreviated }}.","Facturé {{ product.price_per_period_abbreviated }}.","Facturado a {{ product.price_per_period_abbreviated }}.","يُفوتر بـ {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }}."
"pL8xndSwcf","Billed at {{ product.price_per_period_abbreviated }} after free trial.","Facturé {{ product.price_per_period_abbreviated }} après l'essai gratuit.","Facturado a {{ product.price_per_period_abbreviated }} después del período de prueba.","يُفوتر بـ {{ product.price_per_period_abbreviated }} بعد الفترة التجريبية.","Ücretsiz deneme sonrası {{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }} após o período de teste."
"xNCOK2ywmL","Premium","Premium","Premium","بريميوم","Premium","Premium"
"Ghxuoh0Y81","Pro Plan","Plan Pro","Plan Pro","خطة برو","Pro Plan","Plano Pro"
"U8amhmMCQS","Badge","Badge","Insignia","شارة","Rozet","Distintivo"
"VJx40VKFag","Continue","Continuer","Continuar","متابعة","Devam Et","Continuar"
"jMlldbd_8r","Start your free trial","Commencer l'essai gratuit","Iniciar prueba gratuita","ابدأ الفترة التجريبية المجانية","Ücretsiz denemenizi başlatın","Iniciar teste gratuito"
"pRzuUvNnKa","Restore Purchases","Restaurer les achats","Restaurar compras","استعادة المشتريات","Satın Alımları Geri Yükle","Restaurar compras"
"ZH6rEuLGhy","Skip for now","Passer pour l'instant","Saltar por ahora","تخطي الآن","Şimdilik atla","Pular por enquanto"

